name,rating,benefits,categories,key_points,description
Farnesyl Acetate,Bad,,"Fragrance: Synthetic and Natural, Antioxidant",,Ingredient used in cosmetics primarily for fragrance.
Formaldehyde-Releasing Preservative,Bad,,Preservative,,Common type of preservative found in cosmetics.
Geraniol,Bad,,"Fragrance: Synthetic and Natural, Irritant",,"A volatile fragrance ingredient extracted from geranium, geraniol is capable of causing sensitivity when applied to skin."
Gold,Bad,,"Coloring Agent/Pigment, Irritant","Metallic element whose skin care benefits remain unproven | Potential source of skin irritation | Also goes by the INCI Name CI 77480 as a colorant | Although related to colloidal gold, the two differ greatly in their cosmetic functions",Metallic element whose skin care benefits remain unproven. Potential source of skin irritation.
Hedera Helix Extract,Bad,,"Irritant, Plant Extracts, Antioxidant",Commonly known as English ivy extract | Contains phytosterols and flavonoids | Also a source of skin-irritating falcarinol | Research has shown allergic reactions to cosmetics containing this ingredient,"This extract, also known as English ivy extract, can irritate and sensitize skin."
Hoya Lacunosa Flower Extract,Bad,,"Fragrance: Synthetic and Natural, Plant Extracts",Derived from the flowers of the Hoya lacunosa plant | Poses potential risk of skin sensitization due to fragrant compounds | Lacking independent research to support supplier claims | Alternative names include cinnamon-scented wax plant and porcelain flower extract,"Extract derived from the flowers of the Hoya lacunosa plant, whose fragrant compounds pose a risk of skin sensitization."
Hydroxyethylpiperazine Ethane Sulfonic Acid,Bad,,pH Adjuster/Stabilizer,,"Also known by the acronym HEPES, hydroxyethylpiperazine ethane sulfonic acid is a buffering ingredient typically used to establish a neutral pH in water-based solutions."
Imidazolidinyl Urea,Bad,,Preservative,,"Considered a weaker preservative than its ""cousin"" diazolidinyl urea."
Iron Powder,Bad,,Occlusive/Opacifying Agent,,"Iron powder is, as the name states, a powdered versoin of the mineral iron. A natural ingredient, it's used as an opacifying agent in cosmetics."
MEA,Bad,,Texture Enhancer,,Abbreviation for monoethanolamine.
Melia Azadirachta Oil,Bad,,"Irritant, Plant Extracts",Derived from the Melia azadirachta or Azadirachta indica tree | Also known as neem oil | Contains antioxidant and emollient properties | Can sensitize skin due to potent active compounds,"Plant-derived oil, AKA neem oil, that has potent active compounds that can sensitize skin."
Methyldihydrojasmonate,Bad,,Fragrance: Synthetic and Natural,"Used as a masking or fragrance component in skin care | Exhibits a floral, jasmine scent | Like other fragrant ingredients, can cause short-term and long-term skin sensitization | Is a colorless-to-light yellow liquid in its raw material form","Methyldihydrojasmonate is a fragrant compound used in skin care for its floral, jasmine-like scent. Like other fragrances, it can cause skin sensitization."
Mimosa Oil Or Extract,Bad,,"Fragrance: Synthetic and Natural, Irritant","Plant-derived oils and extracts from the Acacia dealbata shrub | Contains phenolic compounds that provide antioxidant properties | As an essential oil, contains volatile aromatic compounds that can sensitize skin | The Cosmetic Ingredient Review Expert Panel could not verify its skin safety due to lack of research","Mimosa oil or extract are fragrant, antioxidant ingredients derived from the Acacia dealbata plant. Their aromatic compounds can cause skin sensitization."
Myrtle Extract,Bad,,"Fragrance: Synthetic and Natural, Irritant, Plant Extracts, Antioxidant","Also known as Myrtus communis extract | Contains sensitizing, aromatic compounds, like linalool and limonene | Offers antioxidant benefits for skin | Can help skin combat organisms that contribute to breakouts","Antioxidant and antimicrobial ingredient, AKA Myrtus communis extract, that also contains volatile, sensitizing aromatic compounds."
Myrtus Communis Extract,Bad,,"Fragrance: Synthetic and Natural, Irritant, Plant Extracts, Antioxidant","A plant extract also known as Myrtle extract | Contains sensitizing, fragrant components, like linalool and limonene | Has established antioxidant benefits | Can help skin combat environments that contribute to breakouts","Antioxidant and antimicrobial ingredient that contains volatile, sensitizing aromatic compounds."
Neem Oil,Bad,,Irritant,"Plant-derived ingredient, AKA Melia azadirachta oil | Derived from the Melia azadirachta or Azadirachta indica tree | Has emollient and antioxidant properties | Can cause skin sensitization and signs of irritation","A plant oil derived from the seeds and fruit of the Melia azadirachta, AKA Azadirachta indica, tree. Can cause skin sensitization."
Papaya Extract,Bad,Smooths Bumpy Skin,"Smooths Bumpy Skin, Exfoliant, Plant Extracts, Irritant",,"Extract that is the source of papain, which theoretically can have exfoliating properties on skin."
Paullinia Cupana Seed Extract,Bad,,"Irritant, Plant Extracts",Also called guarana seed extract | Native to the Amazon | Has beneficial phenolic compounds | Also constricts skin,This extract from the guarana plant has antioxidant properties but also constricts skin.
Pawpaw Extract,Bad,Hydration,"Hydration, Plant Extracts, Humectant",,This plant extract has antioxidant properties but can also irritate skin.
Perfluorodecalin,Bad,,"Solvent, Texture Enhancer","Synthetic ingredient, classified as a perfluorocarbon | Solvent and texture-enhancing ingredient that may increase oxygen to skin | May boost reactive oxygen species (ROS) in skin, which can age skin faster | Often used in “bubble masks”","Solvent and texture-enhancing ingredient that increases oxygen to skin, which may actually boost the presence of reactive oxygen species (ROS) in skin—the very thing antioxidants fight against."
Perfluorohexane,Bad,,"Solvent, Texture Enhancer","Synthetic ingredient, classified as a perfluorocarbon | Solvent and texture-enhancing ingredient that may increase oxygen to skin | May boost reactive oxygen species (ROS) in skin, which can age skin faster | Often used in “bubble masks”","Solvent and texture-enhancing ingredient that increases oxygen to skin, which may actually boost the presence of reactive oxygen species (ROS) in skin—the very thing antioxidants fight against."
Phenylpropanol,Bad,,"Fragrance: Synthetic and Natural, Preservative, Solvent","Masking scent used in skin care formulas | Also serves as a preservative, extending product shelf life | Potentially irritating to skin | Used in concentrations of up to .3%",Preservative and fragrant compound used as a masking scent in cosmetics. Potentially irritating to skin.
Polyperfluoroperhydrophenanthrene,Bad,,Solvent,Fluorocarbon made up of fluorine and carbon | Mostly used in ingredient blends | Utilized as a solvent | More research is needed to determine its safety,A solvent and potential PFAS that is often used as part of an ingredient blend.
Polyvinyl Alcohol,Bad,,"Film-Forming Agent, Texture Enhancer",,"A synthetic polymer of vinyl alcohol that functions in cosmetics as a gel-based thickener, film-forming, and binding agent."
Potassium Hydroxide,Bad,,"pH Adjuster/Stabilizer, Texture Enhancer",,"Also known as lye, a highly alkaline ingredient used in small amounts in cosmetics."
Potassium Myristate,Bad,,"Cleansing Agent, Emulsifier",,Detergent cleansing agent that is a constituent of soap; it can be drying and aggravate skin for some.
Quaternium-15,Bad,,Preservative,,Formaldehyde-releasing preservative used in cosmetics. It can be a skin sensitizer.
Quercus Robur (Oak) Root Extract,Bad,,"Irritant, Plant Extracts, Antioxidant","Plant-derived ingredient taken from the English oak tree | Can help protect skin from external aggressors | Contains tannins, which denature skin | Might contribute to skin barrier disruptions","A plant-derived ingredient rich in antioxidants that contains tannins, which denature proteins in skin’s surface, resulting in sensitization."
Rosa Damascena Flower Water,Bad,,"Fragrance: Synthetic and Natural, Plant Extracts",Fragrant solution obtained from the flowers of the damask rose | Poses a risk of irritation to skin due to its volatile compounds | May also be referred to simply as rose water | Claims such as calming redness and reducing acne have not been proven to be true,"Fragrant solution obtained from the flowers of the damask rose, which poses a risk of irritation to skin."
Sclareolide,Bad,,"Fragrance: Synthetic and Natural, Plant Extracts",Fragrance ingredient with a musky/woody aroma | Potentially problematic for long-term skin health | May be extracted from plants such as clary sage | White crystalline powder in raw form,Fragrance ingredient with a musky/woody aroma; may be problematic for skin.
Sea Salt,Bad,Hydration,"Hydration, Humectant, Irritant",,"Can be effective as a topical scrub, but if left on skin it can increase the risk of a sensitized reaction."
Silt,Bad,"Oil Control, Hydration","Oil Control, Hydration, Absorbent, Humectant",,A sediment obtained from various bodies of water. Silt's absorbent nature helps it function to absorb excess surface oil.
Sodium Laurate,Bad,,"Cleansing Agent, Irritant",Sodium salt of lauric acid | Classified as a soap | Strong potential to irritate skin | Damages skin’s barrier | White solid in its raw form,This type of soap can cause irritation and lasting damage to skin’s barrier.
Tanacetum Annuum Flower Oil,Bad,,"Irritant, Plant Extracts","Fragrant essential oil, also known as blue tansy | Imparts a characteristically blue hue (thanks to its chemical component chamazulene) | Poses a risk of sensitizing skin and causing a cascade of damage on a deeper level | Alternatively, may offer aromatherapeutic benefits",Fragrant essential oil (also known as blue tansy) that poses a risk of sensitizing skin.
Tea Tree Oil,Bad,Anti-Acne,"Anti-Acne, Fragrance: Synthetic and Natural, Plant Extracts, Antioxidant, Irritant","Essential oil with a distinctive herbal/medicinal scent even at low concentrations | Contains volatile compounds that are known to be skin sensitizing | May help visibly improve breakout-prone skin (when properly incorporated) | Has antimicrobial, anti-viral, antifungal, and anti-inflammatory properties | Irritation risk increases when tea tree oil oxidizes—proper storage is essential","Tea tree oil contains volatile components (such as linalool, limonene, and eucalyptol) that can be sensitizing to skin."
